iter	Passed	Remaining
887	3058	385
888	3061	382
889	3064	378
890	3067	375
891	3069	371
892	3072	368
893	3077	364
894	3080	361
895	3084	358
896	3087	354
897	3089	350
898	3093	347
899	3096	344
900	3098	340
901	3101	336
902	3103	333
903	3106	329
904	3110	326
905	3114	323
906	3116	319
907	3119	316
908	3122	312
909	3126	309
910	3129	305
911	3132	302
912	3134	298
913	3137	295
914	3141	291
915	3144	288
916	3147	284
917	3149	281
918	3153	277
919	3157	274
920	3160	271
921	3162	267
922	3165	264
923	3170	260
924	3175	257
925	3177	253
926	3180	250
927	3186	247
928	3191	243
929	3195	240
930	3198	237
931	3202	233
932	3206	230
933	3209	226
934	3212	223
935	3218	220
936	3221	216
937	3224	213
938	3230	209
939	3234	206
940	3237	202
941	3240	199
942	3244	196
943	3250	192
944	3253	189
945	3256	185
946	3261	182
947	3265	179
948	3268	175
949	3271	172
950	3274	168
951	3278	165
952	3284	162
953	3287	158
954	3290	155
955	3298	151
956	3302	148
957	3305	144
958	3311	141
959	3317	138
960	3320	134
961	3324	131
962	3329	127
963	3334	124
964	3338	121
965	3343	117
966	3346	114
967	3349	110
968	3354	107
969	3361	103
970	3365	100
971	3371	97
972	3376	93
973	3378	90
974	3382	86
975	3387	83
976	3391	79
977	3393	76
978	3396	72
979	3400	69
980	3406	65
981	3410	62
982	3413	59
983	3419	55
984	3424	52
985	3428	48
986	3433	45
987	3439	41
988	3443	38
989	3448	34
990	3453	31
991	3456	27
992	3459	24
993	3465	20
994	3468	17
995	3472	13
996	3474	10
997	3481	6
998	3485	3
999	3488	0
